year,week,departament_name,departament_id,province,trends_dengue,prec_2weeks,temp_2weeks_avg,humd_2weeks_avg,target_cases
2023,1,COMUNA 13,13,CABA,,,,,1
2023,1,COMUNA 4,4,CABA,,,,,1
2023,1,COMUNA 5,5,CABA,,,,,2
2023,1,COMUNA 9,9,CABA,,,,,1
2023,1,José C. Paz,34,Buenos Aires,,,,,1
2023,1,Malvinas Argentinas,41,Buenos Aires,,,,,1
2023,2,COMUNA 1,1,CABA,,,,,3
2023,2,COMUNA 13,13,CABA,,,,,1
2023,2,COMUNA 7,7,CABA,,,,,1
2023,2,COMUNA 9,9,CABA,,,,,1
2023,2,Merlo,43,Buenos Aires,,,,,1
2023,3,COMUNA 1,1,CABA,,,,,1
2023,3,COMUNA 6,6,CABA,,,,,1
2023,3,La Matanza,35,Buenos Aires,,,,,1
2023,3,Merlo,43,Buenos Aires,,,,,2
2023,3,San Fernando,48,Buenos Aires,,,,,1
2023,4,COMUNA 11,11,CABA,,,,,1
2023,4,COMUNA 7,7,CABA,,,,,1
2023,4,Florencio Varela,28,Buenos Aires,,,,,1
2023,4,General San Martín,31,Buenos Aires,,,,,1
2023,4,Ituzaingó,33,Buenos Aires,,,,,1
2023,4,Lanús,36,Buenos Aires,,,,,1
2023,4,Lomas de Zamora,38,Buenos Aires,,,,,1
2023,4,San Isidro,49,Buenos Aires,,,,,1
2023,5,Berazategui,18,Buenos Aires,,,,,1
2023,5,COMUNA 1,1,CABA,,,,,3
2023,5,COMUNA 11,11,CABA,,,,,3
2023,5,COMUNA 2,2,CABA,,,,,1
2023,5,COMUNA 3,3,CABA,,,,,1
2023,5,COMUNA 4,4,CABA,,,,,1
2023,5,COMUNA 7,7,CABA,,,,,4
2023,5,COMUNA 8,8,CABA,,,,,1
2023,5,COMUNA 9,9,CABA,,,,,3
2023,5,Esteban Echeverría,25,Buenos Aires,,,,,1
2023,5,La Matanza,35,Buenos Aires,,,,,3
2023,6,Berazategui,18,Buenos Aires,,,,,1
2023,6,COMUNA 1,1,CABA,,,,,4
2023,6,COMUNA 10,10,CABA,,,,,1
2023,6,COMUNA 11,11,CABA,,,,,1
2023,6,COMUNA 12,12,CABA,,,,,2
2023,6,COMUNA 2,2,CABA,,,,,1
2023,6,COMUNA 4,4,CABA,,,,,1
2023,6,COMUNA 7,7,CABA,,,,,3
2023,6,COMUNA 9,9,CABA,,,,,3
2023,6,La Matanza,35,Buenos Aires,,,,,3
2023,6,La Plata,37,Buenos Aires,,,,,1
2023,6,Lomas de Zamora,38,Buenos Aires,,,,,1
2023,6,Morón,44,Buenos Aires,,,,,1
2023,6,Tigre,52,Buenos Aires,,,,,1
2023,6,Tres de Febrero,53,Buenos Aires,,,,,1
2023,7,Almirante Brown,16,Buenos Aires,,,,,1
2023,7,Berazategui,18,Buenos Aires,,,,,3
2023,7,COMUNA 1,1,CABA,,,,,5
2023,7,COMUNA 11,11,CABA,,,,,5
2023,7,COMUNA 3,3,CABA,,,,,1
2023,7,COMUNA 7,7,CABA,,,,,3
2023,7,COMUNA 8,8,CABA,,,,,4
2023,7,COMUNA 9,9,CABA,,,,,12
2023,7,General San Martín,31,Buenos Aires,,,,,1
2023,7,José C. Paz,34,Buenos Aires,,,,,1
2023,7,La Matanza,35,Buenos Aires,,,,,2
2023,7,Lanús,36,Buenos Aires,,,,,1
2023,7,Lomas de Zamora,38,Buenos Aires,,,,,2
2023,7,Merlo,43,Buenos Aires,,,,,1
2023,7,Tres de Febrero,53,Buenos Aires,,,,,2
2023,8,Almirante Brown,16,Buenos Aires,,,,,1
2023,8,Berazategui,18,Buenos Aires,,,,,7
2023,8,COMUNA 1,1,CABA,,,,,7
2023,8,COMUNA 10,10,CABA,,,,,2
2023,8,COMUNA 11,11,CABA,,,,,6
2023,8,COMUNA 14,14,CABA,,,,,3
2023,8,COMUNA 15,15,CABA,,,,,3
2023,8,COMUNA 2,2,CABA,,,,,1
2023,8,COMUNA 3,3,CABA,,,,,1
2023,8,COMUNA 4,4,CABA,,,,,2
2023,8,COMUNA 7,7,CABA,,,,,5
2023,8,COMUNA 8,8,CABA,,,,,1
2023,8,COMUNA 9,9,CABA,,,,,22
2023,8,Esteban Echeverría,25,Buenos Aires,,,,,1
2023,8,Florencio Varela,28,Buenos Aires,,,,,1
2023,8,General San Martín,31,Buenos Aires,,,,,2
2023,8,La Matanza,35,Buenos Aires,,,,,11
