year,week,departament_name,departament_id,province,trends_dengue,prec_2weeks,temp_2weeks_avg,humd_2weeks_avg,target_cases
2024,1,Almirante Brown,16,Buenos Aires,,13.37,24.56,65.57,3
2024,1,Avellaneda,17,Buenos Aires,,10.95,25.14,67.61,6
2024,1,Berazategui,18,Buenos Aires,,13.37,24.56,65.57,2
2024,1,Brandsen,20,Buenos Aires,,13.37,24.56,65.57,1
2024,1,COMUNA 1,1,CABA,,17.26,26.2,57.61,5
2024,1,COMUNA 10,10,CABA,,17.26,26.2,57.61,2
2024,1,COMUNA 11,11,CABA,,17.26,26.2,57.61,3
2024,1,COMUNA 12,12,CABA,,17.26,26.2,57.61,3
2024,1,COMUNA 13,13,CABA,,17.26,26.2,57.61,1
2024,1,COMUNA 15,15,CABA,,17.26,26.2,57.61,5
2024,1,COMUNA 2,2,CABA,,17.26,26.2,57.61,3
2024,1,COMUNA 3,3,CABA,,17.26,26.2,57.61,4
2024,1,COMUNA 4,4,CABA,,17.26,26.2,57.61,4
2024,1,COMUNA 5,5,CABA,,17.26,26.2,57.61,4
2024,1,COMUNA 6,6,CABA,,17.26,26.2,57.61,3
2024,1,COMUNA 7,7,CABA,,17.26,26.2,57.61,2
2024,1,COMUNA 8,8,CABA,,17.26,26.2,57.61,5
2024,1,Escobar,24,Buenos Aires,,17.26,26.2,57.61,1
2024,1,Esteban Echeverría,25,Buenos Aires,,15.2,25.29,61.14,8
2024,1,Exaltación de la Cruz,26,Buenos Aires,,14.85,26.58,56.75,1
2024,1,Ezeiza,27,Buenos Aires,,15.2,25.29,61.14,3
2024,1,Florencio Varela,28,Buenos Aires,,13.37,24.56,65.57,10
2024,1,General San Martín,31,Buenos Aires,,17.26,26.2,57.61,7
2024,1,Hurlingham,32,Buenos Aires,,17.26,26.2,57.61,2
2024,1,José C. Paz,34,Buenos Aires,,17.26,26.2,57.61,5
2024,1,La Matanza,35,Buenos Aires,,17.26,26.2,57.61,6
2024,1,La Plata,37,Buenos Aires,,13.37,24.56,65.57,12
2024,1,Lanús,36,Buenos Aires,,10.95,25.14,67.61,7
2024,1,Lomas de Zamora,38,Buenos Aires,,10.95,25.14,67.61,12
