year,week,trends_dengue,region
2018,52,31,Buenos Aires
2019,1,45,Buenos Aires
2019,2,59,Buenos Aires
2019,3,42,Buenos Aires
2019,4,48,Buenos Aires
2019,5,100,Buenos Aires
2019,6,44,Buenos Aires
2019,7,30,Buenos Aires
2019,8,43,Buenos Aires
2019,9,33,Buenos Aires
2019,10,32,Buenos Aires
2019,11,42,Buenos Aires
2019,12,32,Buenos Aires
2019,13,40,Buenos Aires
2019,14,39,Buenos Aires
2019,15,40,Buenos Aires
2019,16,41,Buenos Aires
2019,17,47,Buenos Aires
2019,18,34,Buenos Aires
2019,19,42,Buenos Aires
2019,20,36,Buenos Aires
2019,21,31,Buenos Aires
2019,22,29,Buenos Aires
2019,23,25,Buenos Aires
2019,24,18,Buenos Aires
2019,25,28,Buenos Aires
2019,26,19,Buenos Aires
2019,27,16,Buenos Aires
2019,28,13,Buenos Aires
2019,29,10,Buenos Aires
2019,30,10,Buenos Aires
2019,31,14,Buenos Aires
2019,32,17,Buenos Aires
2019,33,23,Buenos Aires
2019,34,28,Buenos Aires
2019,35,16,Buenos Aires
2019,36,15,Buenos Aires
2019,37,14,Buenos Aires
2019,38,21,Buenos Aires
2019,39,18,Buenos Aires
2019,40,15,Buenos Aires
2019,41,19,Buenos Aires
2019,42,23,Buenos Aires
2019,43,19,Buenos Aires
2019,44,28,Buenos Aires
2019,45,30,Buenos Aires
2019,46,19,Buenos Aires
2019,47,30,Buenos Aires
2019,48,28,Buenos Aires
2019,49,16,Buenos Aires
2019,50,20,Buenos Aires
2019,51,27,Buenos Aires
2019,52,27,Buenos Aires
