year,week,trends_dengue,region
2017,52,34,CABA
2018,1,31,CABA
2018,2,36,CABA
2018,3,45,CABA
2018,4,26,CABA
2018,5,26,CABA
2018,6,31,CABA
2018,7,49,CABA
2018,8,39,CABA
2018,9,45,CABA
2018,10,39,CABA
2018,11,44,CABA
2018,12,45,CABA
2018,13,45,CABA
2018,14,100,CABA
2018,15,56,CABA
2018,16,76,CABA
2018,17,46,CABA
2018,18,36,CABA
2018,19,43,CABA
2018,20,21,CABA
2018,21,20,CABA
2018,22,13,CABA
2018,23,16,CABA
2018,24,0,CABA
2018,25,0,CABA
2018,26,0,CABA
2018,27,18,CABA
2018,28,0,CABA
2018,29,0,CABA
2018,30,12,CABA
2018,31,0,CABA
2018,32,0,CABA
2018,33,0,CABA
2018,34,0,CABA
2018,35,0,CABA
2018,36,0,CABA
2018,37,0,CABA
2018,38,0,CABA
2018,39,0,CABA
2018,40,16,CABA
2018,41,15,CABA
2018,42,23,CABA
2018,43,15,CABA
2018,44,23,CABA
2018,45,0,CABA
2018,46,26,CABA
2018,47,17,CABA
2018,48,15,CABA
2018,49,0,CABA
2018,50,16,CABA
2018,51,24,CABA
2018,52,35,CABA
2017,52,47,Buenos Aires
2018,1,35,Buenos Aires
2018,2,32,Buenos Aires
2018,3,44,Buenos Aires
2018,4,35,Buenos Aires
2018,5,33,Buenos Aires
2018,6,33,Buenos Aires
2018,7,39,Buenos Aires
2018,8,53,Buenos Aires
2018,9,56,Buenos Aires
2018,10,44,Buenos Aires
2018,11,61,Buenos Aires
2018,12,44,Buenos Aires
2018,13,57,Buenos Aires
2018,14,100,Buenos Aires
2018,15,89,Buenos Aires
2018,16,87,Buenos Aires
2018,17,57,Buenos Aires
2018,18,61,Buenos Aires
2018,19,56,Buenos Aires
2018,20,44,Buenos Aires
2018,21,41,Buenos Aires
2018,22,27,Buenos Aires
2018,23,32,Buenos Aires
2018,24,24,Buenos Aires
2018,25,20,Buenos Aires
2018,26,24,Buenos Aires
2018,27,20,Buenos Aires
2018,28,7,Buenos Aires
2018,29,13,Buenos Aires
2018,30,22,Buenos Aires
2018,31,23,Buenos Aires
2018,32,18,Buenos Aires
2018,33,29,Buenos Aires
2018,34,32,Buenos Aires
2018,35,24,Buenos Aires
2018,36,23,Buenos Aires
2018,37,15,Buenos Aires
2018,38,16,Buenos Aires
2018,39,18,Buenos Aires
2018,40,15,Buenos Aires
2018,41,23,Buenos Aires
2018,42,27,Buenos Aires
2018,43,16,Buenos Aires
2018,44,22,Buenos Aires
2018,45,24,Buenos Aires
2018,46,27,Buenos Aires
2018,47,22,Buenos Aires
2018,48,18,Buenos Aires
2018,49,21,Buenos Aires
2018,50,22,Buenos Aires
2018,51,40,Buenos Aires
2018,52,33,Buenos Aires
