year,week,trends_dengue,region
2018,52,48,CABA
2019,1,51,CABA
2019,2,51,CABA
2019,3,38,CABA
2019,4,70,CABA
2019,5,100,CABA
2019,6,41,CABA
2019,7,28,CABA
2019,8,65,CABA
2019,9,31,CABA
2019,10,22,CABA
2019,11,23,CABA
2019,12,44,CABA
2019,13,43,CABA
2019,14,32,CABA
2019,15,29,CABA
2019,16,38,CABA
2019,17,31,CABA
2019,18,25,CABA
2019,19,27,CABA
2019,20,32,CABA
2019,21,25,CABA
2019,22,17,CABA
2019,23,21,CABA
2019,24,21,CABA
2019,25,24,CABA
2019,26,17,CABA
2019,27,0,CABA
2019,28,0,CABA
2019,29,0,CABA
2019,30,0,CABA
2019,31,0,CABA
2019,32,11,CABA
2019,33,14,CABA
2019,34,22,CABA
2019,35,12,CABA
2019,36,0,CABA
2019,37,13,CABA
2019,38,18,CABA
2019,39,18,CABA
2019,40,18,CABA
2019,41,29,CABA
2019,42,15,CABA
2019,43,29,CABA
2019,44,28,CABA
2019,45,36,CABA
2019,46,27,CABA
2019,47,25,CABA
2019,48,24,CABA
2019,49,22,CABA
2019,50,28,CABA
2019,51,26,CABA
2019,52,27,CABA
2018,52,31,Buenos Aires
2019,1,45,Buenos Aires
2019,2,59,Buenos Aires
2019,3,42,Buenos Aires
2019,4,48,Buenos Aires
2019,5,100,Buenos Aires
2019,6,44,Buenos Aires
2019,7,30,Buenos Aires
2019,8,43,Buenos Aires
2019,9,33,Buenos Aires
2019,10,32,Buenos Aires
2019,11,42,Buenos Aires
2019,12,32,Buenos Aires
2019,13,40,Buenos Aires
2019,14,39,Buenos Aires
2019,15,40,Buenos Aires
2019,16,41,Buenos Aires
2019,17,47,Buenos Aires
2019,18,34,Buenos Aires
2019,19,42,Buenos Aires
2019,20,36,Buenos Aires
2019,21,31,Buenos Aires
2019,22,29,Buenos Aires
2019,23,25,Buenos Aires
2019,24,18,Buenos Aires
2019,25,28,Buenos Aires
2019,26,19,Buenos Aires
2019,27,16,Buenos Aires
2019,28,13,Buenos Aires
2019,29,10,Buenos Aires
2019,30,10,Buenos Aires
2019,31,14,Buenos Aires
2019,32,17,Buenos Aires
2019,33,23,Buenos Aires
2019,34,28,Buenos Aires
2019,35,16,Buenos Aires
2019,36,15,Buenos Aires
2019,37,14,Buenos Aires
2019,38,21,Buenos Aires
2019,39,18,Buenos Aires
2019,40,15,Buenos Aires
2019,41,19,Buenos Aires
2019,42,23,Buenos Aires
2019,43,19,Buenos Aires
2019,44,28,Buenos Aires
2019,45,30,Buenos Aires
2019,46,19,Buenos Aires
2019,47,30,Buenos Aires
2019,48,28,Buenos Aires
2019,49,16,Buenos Aires
2019,50,20,Buenos Aires
2019,51,27,Buenos Aires
2019,52,27,Buenos Aires
